ParentMaterialNumber,SalesWeekNumber,SalesOrderQtyEaches,Base_Sales,Sales_Variance_Pct,CustomerCt,Base_CustomerCt,CustomerCt_Variance_Pct,Sales_Per_Customer,Base_Sales_Per_Customer,OrderSize_Variance_Pct
B-D305905,3,13766.0,23344.0,-0.41029814941740916,47.0,55.25,-0.1493212669683258,292.8936170212766,395.0418704710145,-0.2585757639511603
B-D305905,52,15282.0,23344.0,-0.3453564084989719,63.0,55.25,0.14027149321266968,242.57142857142858,395.0418704710145,-0.38596020649100576
B-D305918,31,106187.0,109069.5,-0.02642810318191612,185.0,194.25,-0.047619047619047616,573.9837837837838,554.1320268428594,0.035824958636714775
B-D305918,53,91230.0,109069.5,-0.16356084881658026,189.0,194.25,-0.02702702702702703,482.6984126984127,554.1320268428594,-0.1289108203173823
B-D309626,25,27965.0,30391.5,-0.07984140302387181,78.0,101.5,-0.2315270935960591,358.52564102564105,301.8486394557823,0.1877662979433815
B-D309632,1,25935.0,33221.5,-0.21933085501858737,79.0,76.75,0.029315960912052116,328.2911392405063,433.53493549891,-0.24275735965151138
B-D309632,21,60990.0,33221.5,0.8358593079782671,81.0,76.75,0.05537459283387622,752.9629629629629,433.53493549891,0.7367988166777302
B-D309632,27,30655.0,33221.5,-0.07725418780006924,85.0,76.75,0.10749185667752444,360.6470588235294,433.53493549891,-0.16812457476235812
B-D309642,19,681870.0,647589.3333333334,0.05293581117251256,1341.0,1219.6666666666667,0.09948073244055747,508.4787472035794,529.457330857585,-0.039622803257867226
B-D309642,26,782158.0,647589.3333333334,0.2077993872660039,1403.0,1219.6666666666667,0.15031429352282036,557.4896650035638,529.457330857585,0.05294540751862589
B-D309642,44,733740.0,647589.3333333334,0.13303286856691066,1115.0,1219.6666666666667,-0.08581579666575573,658.0627802690583,529.457330857585,0.2429004981443272
B-D367363,40,137387.0,115642.0,0.18803721831168607,281.0,243.5,0.1540041067761807,488.9217081850534,474.91212683420474,0.029499312734415563
B-D367365,6,86578.0,69853.25,0.2394269414808903,161.0,128.75,0.2504854368932039,537.7515527950311,535.100037719768,0.004955176393860937
B-D367365,53,83756.0,69853.25,0.19902796219216715,129.0,128.75,0.001941747572815534,649.2713178294574,535.100037719768,0.2133643656543357
B-D368653,25,43327.0,50659.5,-0.14474086795171687,53.0,56.333333333333336,-0.05917159763313613,817.4905660377359,895.1532478269697,-0.08675909066717231
B-D368653,32,67174.0,50659.5,0.32599018940179036,54.0,56.333333333333336,-0.041420118343195304,1243.962962962963,895.1532478269697,0.3896648043033377
B-D368653,51,49978.0,50659.5,-0.013452560724049782,52.0,56.333333333333336,-0.07692307692307696,961.1153846153846,895.1532478269697,0.07368809413197279
B-D405193CS,35,265.0,60.0,3.4166666666666665,3.0,2.0,0.5,88.33333333333333,15.0,4.888888888888888
B-D581033,32,50.0,100.0,-0.5,1.0,2.0,-0.5,50.0,50.0,0.0
B-D930103CS,8,10331.0,19474.0,-0.46949779192769847,72.0,87.25,-0.17478510028653296,143.48611111111111,226.06451382759636,-0.3652868878813153
